,DEGREE,EDGE_PO_BIN,EDGE_PO_CLIENT,EDGE_PO_NONE,EDGE_PO_READ,EDGE_PO_RaW,EDGE_PO_SERVER,EDGE_PO_WRITE,EXTERNAL,GID_STS,HIDE,NEIGH_DEGREE,NEIGH_DIST,NEIGH_FILE,NEIGH_PROCESS,NEIGH_SOCKET,NEIGH_WEB_CONN,NODE_FILE,NODE_PROCESS,NODE_SOCKET,SHOW,SUSPICIOUS,UID_STS,VERSION,WEB_CONN
1466,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,31,16.824495327978703,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,1.0
1467,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,30,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,109.0,0.0
1468,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,24,17.891827732220005,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1469,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,117,19.521601998239866,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,2.0,0.0
1470,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,21.228687697044936,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1471,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,65,17.859869829637834,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1472,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,21.33900899086664,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0
1473,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,43,18.008242152530507,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,4.0,0.0
1474,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,0.0
1475,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0
1476,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,117,16.8249301809124,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0
1477,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,211,18.666417261238458,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1478,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,113,24.536944894110846,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,2.0,0.0
1479,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,30,17.601763470948498,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,0.0
1480,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6,15.84358314449962,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1481,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,43,17.707432728436757,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,10.0,0.0
1482,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,102,24.541771228914744,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1483,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,43,16.944465482737066,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,40.0,0.0
