,EDGE_TYPE,EXTERNAL,GID_STS,HIDE,NEIGH_TYPE,NEIGH_WEB_CONN,NODE_TYPE,SHOW,SUSPICIOUS,TIMESTAMP,UID_STS,UUID,VERSION,WEB_CONN
35,3,1,1,0,3,1,1,1,0,1498934261149290941,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47962a-5e8c-11e7-92da-080027d14c66,0,1
36,2,1,0,0,3,1,1,1,0,1498934261146894926,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:869157ef-5e8a-11e7-9107-080027d14c66,0,1
37,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
38,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
39,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
40,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
41,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
42,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
43,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
44,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
45,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
46,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
47,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
48,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
49,2,1,0,0,3,1,1,1,0,1498934261146894926,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:869157ef-5e8a-11e7-9107-080027d14c66,0,1
50,3,1,1,0,3,1,1,1,0,1498934261149290941,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47962a-5e8c-11e7-92da-080027d14c66,0,1
51,2,1,0,0,3,1,1,1,0,1498934261146894926,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:869157ef-5e8a-11e7-9107-080027d14c66,0,1
52,2,1,0,0,3,1,1,1,0,1498934261146894926,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:869157ef-5e8a-11e7-9107-080027d14c66,0,1
53,3,1,1,0,3,1,1,1,0,1498934261149290941,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47962a-5e8c-11e7-92da-080027d14c66,0,1
54,3,1,0,0,3,1,1,1,0,1498934261304812388,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d5f5e04-5e8c-11e7-92db-080027d14c66,0,1
55,1,1,1,0,3,1,1,1,0,1498934261149290941,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47962a-5e8c-11e7-92da-080027d14c66,0,1
56,2,1,0,0,3,1,1,1,0,1498934261146894926,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:869157ef-5e8a-11e7-9107-080027d14c66,0,1
57,3,1,1,0,3,1,1,1,0,1498934261149290941,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47962a-5e8c-11e7-92da-080027d14c66,0,1
58,3,1,1,0,3,1,1,1,0,1498934261510198747,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d7eeb3d-5e8c-11e7-92db-080027d14c66,0,1
59,2,1,0,0,3,1,1,1,0,1498934261146894926,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:869157ef-5e8a-11e7-9107-080027d14c66,0,1
60,3,1,1,0,3,1,1,1,0,1498934261149290941,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47962a-5e8c-11e7-92da-080027d14c66,0,1
61,1,1,0,0,3,1,1,1,1,1498934261607119729,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d886ed6-5e8c-11e7-92dc-080027d14c66,1,1
62,1,1,1,0,3,1,1,1,0,1498934262167909089,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5de37c1a-5e8c-11e7-92e1-080027d14c66,0,1
63,1,1,1,0,3,1,1,1,1,1498934262512791456,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5e17beaf-5e8c-11e7-92e1-080027d14c66,0,1
64,1,1,1,0,3,1,1,1,0,1498934262639855280,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5e2ba740-5e8c-11e7-92e1-080027d14c66,0,1
65,1,1,1,0,3,1,1,1,0,1498934262786805200,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5e41cc5b-5e8c-11e7-92e1-080027d14c66,0,1
66,1,1,1,0,3,1,1,1,1,1498934263264928680,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5e8bbb21-5e8c-11e7-92e1-080027d14c66,0,1
67,1,1,1,0,3,1,1,1,0,1498934263402064739,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5e9f616e-5e8c-11e7-92e1-080027d14c66,0,1
68,1,1,1,0,3,1,1,1,1,1498934263655792495,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5ec609c6-5e8c-11e7-92e2-080027d14c66,0,1
69,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
70,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
71,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
72,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
73,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
74,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
75,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
76,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
77,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
78,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
79,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
80,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
81,1,1,0,0,3,1,1,1,0,1498934297939471407,0,a4b43224-b384-420d-9a4c-2ceb1f436529:4e53b871-5e8c-11e7-a248-080027d14c67,0,1
82,1,1,0,0,3,1,1,1,0,1498934297939471407,0,a4b43224-b384-420d-9a4c-2ceb1f436529:4e53b871-5e8c-11e7-a248-080027d14c67,0,1
83,1,1,0,0,3,1,1,1,0,1498934302145311437,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:50cd1e0a-5e8c-11e7-92b2-080027d14c66,0,1
84,1,1,0,0,3,1,1,1,0,1498934302145311437,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:50cd1e0a-5e8c-11e7-92b2-080027d14c66,0,1
85,1,1,1,0,3,1,1,1,1,1498934310274883474,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:7a90ebda-5e8c-11e7-92e3-080027d14c66,0,1
86,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
87,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
